ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Afghanistan;0.06 ;0.00 ;;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.02)
Albania;0.03 ;0.09 ;0.33 ;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.01)
Algeria;0.06 ;0.02 ;0.35 ;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
American Samoa;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Andorra;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Angola;0.06 ;(0.02);0.59 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Antigua and Barbuda;0.03 ;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Argentina;0.02 ;0.08 ;0.49 ;0.51 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Armenia;0.05 ;0.05 ;0.30 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Aruba;;;;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Australia;0.01 ;0.10 ;0.35 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Austria;0.01 ;0.10 ;0.29 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Azerbaijan;0.06 ;(0.07);0.17 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
"Bahamas, The";0.01 ;;;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Bahrain;0.06 ;(0.07);;0.44 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Bangladesh;0.04 ;0.05 ;0.31 ;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Barbados;0.01 ;;;0.52 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Belarus;0.07 ;(0.07);0.29 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Belgium;0.01 ;0.08 ;0.33 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Belize;0.02 ;;0.60 ;0.50 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;(0.00)
Benin;0.02 ;0.07 ;0.39 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Bermuda;;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Bhutan;0.05 ;0.03 ;;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Bolivia;0.03 ;0.07 ;0.57 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Bosnia and Herzegovina;0.04 ;0.00 ;0.36 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.00)
Botswana;0.03 ;0.08 ;0.61 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.01 
Brazil;0.02 ;0.08 ;0.55 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Brunei Darussalam;0.06 ;;;0.48 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 
Bulgaria;0.02 ;0.09 ;0.29 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.00)
Burkina Faso;0.04 ;0.00 ;0.40 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Burundi;0.05 ;0.06 ;0.33 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Cambodia;0.06 ;0.02 ;0.44 ;0.51 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
Cameroon;0.06 ;(0.04);0.45 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Canada;0.01 ;0.10 ;0.33 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Cape Verde;0.01 ;;0.50 ;0.53 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.01 
Cayman Islands;;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Central African Republic;0.05 ;(0.01);0.44 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Chad;0.07 ;(0.02);0.40 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Channel Islands;;;;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Chile;0.01 ;0.10 ;0.52 ;0.51 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
China;0.07 ;(0.07);0.42 ;0.48 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
Colombia;0.04 ;0.07 ;0.59 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Comoros;0.04 ;0.09 ;0.64 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
"Congo, Dem. Rep.";0.06 ;0.05 ;0.44 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
"Congo, Rep.";0.06 ;(0.04);0.47 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Costa Rica;0.01 ;0.10 ;0.49 ;0.49 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Cote d'Ivoire;0.06 ;0.00 ;0.48 ;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Croatia;0.02 ;0.09 ;0.29 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 
Cuba;0.07 ;(0.07);;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Cyprus;0.01 ;0.10 ;;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Czech Republic;0.01 ;0.08 ;0.26 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 
Denmark;0.01 ;0.10 ;0.25 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Djibouti;0.05 ;0.02 ;0.40 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Dominica;0.01 ;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Dominican Republic;0.02 ;0.08 ;0.48 ;0.49 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Ecuador;0.03 ;0.05 ;0.54 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
"Egypt, Arab Rep.";0.06 ;(0.03);0.32 ;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
El Salvador;0.03 ;0.08 ;0.47 ;0.51 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Equatorial Guinea;0.07 ;(0.05);;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.02)
Eritrea;0.07 ;(0.07);;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Estonia;0.01 ;0.09 ;0.36 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Ethiopia;0.05 ;0.01 ;0.30 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Faeroe Islands;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Fiji;0.05 ;(0.04);;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Finland;0.01 ;0.10 ;0.27 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
France;0.01 ;0.09 ;0.33 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
French Polynesia;;;;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Gabon;0.06 ;0.03 ;0.42 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
"Gambia, The";0.05 ;(0.05);0.47 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Georgia;0.04 ;0.06 ;0.41 ;0.53 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Germany;0.01 ;0.10 ;0.28 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Ghana;0.02 ;0.08 ;0.43 ;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Gibraltar;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Greece;0.02 ;0.10 ;0.34 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Greenland;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Grenada;0.02 ;;;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 
Guam;;;;0.47 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Guatemala;0.04 ;0.08 ;0.54 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Guinea;0.07 ;(0.01);0.43 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Guinea-Bissau;0.04 ;0.06 ;0.36 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Guyana;0.03 ;0.06 ;0.43 ;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;(0.01)
Haiti;0.05 ;0.05 ;0.60 ;0.51 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Honduras;0.04 ;0.07 ;0.55 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
"Hong Kong SAR, China";;;0.43 ;0.50 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.02 
Hungary;0.01 ;0.10 ;0.30 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.01 
Iceland;0.01 ;;;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
India;0.03 ;0.09 ;0.37 ;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Indonesia;0.03 ;0.08 ;0.38 ;0.50 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
"Iran, Islamic Rep.";0.06 ;(0.07);0.38 ;0.49 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Iraq;0.06 ;0.00 ;0.38 ;0.49 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Ireland;0.01 ;0.10 ;0.34 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Isle of Man;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Israel;0.02 ;0.10 ;0.39 ;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Italy;0.02 ;0.10 ;0.36 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Jamaica;0.03 ;0.09 ;0.46 ;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;(0.00)
Japan;0.02 ;0.10 ;0.25 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Jordan;0.06 ;(0.03);0.38 ;0.48 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Kazakhstan;0.06 ;(0.06);0.31 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Kenya;0.04 ;0.07 ;0.48 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Kiribati;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
"Korea, Dem. Rep.";0.07 ;(0.09);;0.51 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.02)
"Korea, Rep.";0.02 ;0.08 ;0.32 ;0.50 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.01 
Kosovo;0.05 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.01)
Kuwait;0.04 ;(0.07);;0.41 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Kyrgyz Republic;0.06 ;0.01 ;0.34 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Lao PDR;0.07 ;(0.07);0.33 ;0.50 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
Latvia;0.02 ;0.08 ;0.36 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Lebanon;0.04 ;0.07 ;;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Lesotho;0.03 ;0.08 ;0.53 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Liberia;0.04 ;0.06 ;0.53 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
